,LOCATION,PRICE,ZIP OR POSTAL CODE,TARGET_ENCODED_PRICE_5,TARGET_ENCODED_PRICE_10,TARGET_ENCODED_PRICE_15,TARGET_ENCODED_PRICE_20,TARGET_ENCODED_PRICE_25,TARGET_ENCODED_PRICE_30,TARGET_ENCODED_PRICE_35,TARGET_ENCODED_PRICE_40,TARGET_ENCODED_PRICE_45,TARGET_ENCODED_PRICE_50
1081,Old City 1,960000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1082,Hillcrest,839900.0,20020.0,457794.44444444444,457794.44444444444,457794.44444444444,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1083,Marshall Heights,499900.0,20019.0,344508.82352941175,344508.82352941175,344508.82352941175,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1084,Barry Farms,479000.0,20020.0,423916.5,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1085,Fort Dupont Park,340000.0,20019.0,406668.75,406668.75,406668.75,406668.75,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1087,Capitol Hill,295000.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1088,Congress Heights,445000.0,20032.0,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,311390.54054054053,311390.54054054053,311390.54054054053
1089,Randle Heights,260000.0,20020.0,364975.0,364975.0,364975.0,364975.0,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1090,R. L. A. SW,710000.0,20024.0,549257.2727272727,549257.2727272727,549257.2727272727,549257.2727272727,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546
1091,Fort Dupont Park,650000.0,20019.0,406668.75,406668.75,406668.75,406668.75,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1092,Capitol Hill,1535000.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1093,NAVY YARD,630000.0,20003.0,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626
1094,Fort Dupont Park,95000.0,20019.0,406668.75,406668.75,406668.75,406668.75,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1095,Fort Dupont Park,350000.0,20019.0,406668.75,406668.75,406668.75,406668.75,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1096,R. L. A. SW,345000.0,20024.0,549257.2727272727,549257.2727272727,549257.2727272727,549257.2727272727,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546
1097,Hillcrest,270000.0,20019.0,457794.44444444444,457794.44444444444,457794.44444444444,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1098,Deanwood,495000.0,20019.0,422817.8214285714,422817.8214285714,422817.8214285714,422817.8214285714,422817.8214285714,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1099,Fort Dupont Park,453500.0,20019.0,406668.75,406668.75,406668.75,406668.75,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1100,Congress Heights,178000.0,20032.0,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,311390.54054054053,311390.54054054053,311390.54054054053
1101,Capitol Hill,584000.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1102,R. L. A. SW,326000.0,20024.0,549257.2727272727,549257.2727272727,549257.2727272727,549257.2727272727,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546
1104,NAVY YARD,409000.0,20003.0,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626,976005.7289719626
1105,Capitol Hill,975000.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1106,Randle Heights,81000.0,20020.0,364975.0,364975.0,364975.0,364975.0,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1107,HARBOUR SQUARE,355000.0,20024.0,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546
1110,Fort Dupont Park,365000.0,20019.0,406668.75,406668.75,406668.75,406668.75,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1111,Congress Heights,380000.0,20032.0,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,311390.54054054053,311390.54054054053,311390.54054054053
1112,Congress Heights,350000.0,20032.0,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,311390.54054054053,311390.54054054053,311390.54054054053
1113,R. L. A. SW,582500.0,20024.0,549257.2727272727,549257.2727272727,549257.2727272727,549257.2727272727,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546
1114,Fort Dupont Park,335000.0,20020.0,406668.75,406668.75,406668.75,406668.75,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1115,R. L. A. SW,265000.0,20024.0,549257.2727272727,549257.2727272727,549257.2727272727,549257.2727272727,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546
1116,Randle Heights,388000.0,20020.0,364975.0,364975.0,364975.0,364975.0,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1117,Fort Dupont Park,380000.0,20019.0,406668.75,406668.75,406668.75,406668.75,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1118,Marshall Heights,435000.0,20019.0,344508.82352941175,344508.82352941175,344508.82352941175,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1119,Anacostia,515000.0,20020.0,437179.0833333333,437179.0833333333,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1120,Marshall Heights,73000.0,20019.0,344508.82352941175,344508.82352941175,344508.82352941175,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1121,Congress Heights,455000.0,20032.0,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,311390.54054054053,311390.54054054053,311390.54054054053
1122,Randle Heights,81000.0,20020.0,364975.0,364975.0,364975.0,364975.0,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1123,Deanwood,418000.0,20019.0,422817.8214285714,422817.8214285714,422817.8214285714,422817.8214285714,422817.8214285714,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1124,Capitol Hill,960000.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1125,Congress Heights,409900.0,20032.0,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,311390.54054054053,311390.54054054053,311390.54054054053
1126,R. L. A. SW,340000.0,20024.0,549257.2727272727,549257.2727272727,549257.2727272727,549257.2727272727,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546
